TestCaseId,API,Method,Scenario,Input/Condition,ExpectedHttpStatus,ExpectedMessageOrErrorCode,,
A01,/api/snakecatching/requests,GET,Get all no filter,No query params,200,Retrieved {count} snake catching request(s) successfully.,,
A02,/api/snakecatching/requests,GET,Filter by userId,userId valid,200,Retrieved {count} snake catching request(s) successfully.,,
A03,/api/snakecatching/requests,GET,Filter by handlingOperatorId,handlingOperatorId valid,200,Retrieved {count} snake catching request(s) successfully.,,
A04,/api/snakecatching/requests,GET,Filter by assignedRescuerId,assignedRescuerId valid,200,Retrieved {count} snake catching request(s) successfully.,,
A05,/api/snakecatching/requests,GET,Filter by status,status enum valid,200,Retrieved {count} snake catching request(s) successfully.,,
A06,/api/snakecatching/requests,GET,Combined filters,userId+operatorId+rescuerId+status,200,Retrieved {count} snake catching request(s) successfully.,,
A07,/api/snakecatching/requests,GET,Unauthorized,Missing or invalid token,401,Authentication required. Please provide a valid token.,,
A08,/api/snakecatching/requests,GET,Unexpected service exception,Service throws Exception,500,INTERNAL_SERVER_ERROR,,
B01,/api/snakecatching/requests/active,GET,Default active list,No params,200,Active snake catching requests retrieved successfully.,,
B02,/api/snakecatching/requests/active,GET,Valid status csv,"status=pending,confirmed",200,Active snake catching requests retrieved successfully.,,
B03,/api/snakecatching/requests/active,GET,Invalid status token ignored,status=unknown,200,Active snake catching requests retrieved successfully.,,
B04,/api/snakecatching/requests/active,GET,Mixed status csv,"status=pending,UNKNOWN,assigned",200,Active snake catching requests retrieved successfully.,,
B05,/api/snakecatching/requests/active,GET,Filter by since,since valid datetime,200,Active snake catching requests retrieved successfully.,,
B06,/api/snakecatching/requests/active,GET,Filter by until,until valid datetime,200,Active snake catching requests retrieved successfully.,,
B07,/api/snakecatching/requests/active,GET,Role forbidden,Role is Member,403,Access denied. You don't have permission to access this resource.,,
B08,/api/snakecatching/requests/active,GET,Unauthorized,Missing token,401,Authentication required. Please provide a valid token.,,
C01,/api/snakecatching/requests,POST,Create minimal valid,Valid minimal body,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C02,/api/snakecatching/requests,POST,Create with species and media,Valid body includes snakeSpeciesList and mediaIdList,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C03,/api/snakecatching/requests,POST,Address required,address=null,400,The Address field is required.,,
C04,/api/snakecatching/requests,POST,Address required,"address=""""",400,The Address field is required.,,
C05,/api/snakecatching/requests,POST,Address max length pass,address length=1000,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C06,/api/snakecatching/requests,POST,Address max length fail,address length=1001,400,The field Address must be a string or array type with a maximum length of '1000'.,,
C07,/api/snakecatching/requests,POST,Lng lower bound,lng=-180,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C08,/api/snakecatching/requests,POST,Lng upper bound,lng=180,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C09,/api/snakecatching/requests,POST,Lng out of range low,lng=-181,400,The field Lng must be between -180 and 180.,,
C10,/api/snakecatching/requests,POST,Lng out of range high,lng=181,400,The field Lng must be between -180 and 180.,,
C11,/api/snakecatching/requests,POST,Lat lower bound,lat=-90,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C12,/api/snakecatching/requests,POST,Lat upper bound,lat=90,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C13,/api/snakecatching/requests,POST,Lat out of range low,lat=-91,400,The field Lat must be between -90 and 90.,,
C14,/api/snakecatching/requests,POST,Lat out of range high,lat=91,400,The field Lat must be between -90 and 90.,,
C15,/api/snakecatching/requests,POST,AdditionalDetails max pass,additionalDetails length=2000,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C16,/api/snakecatching/requests,POST,AdditionalDetails max fail,additionalDetails length=2001,400,The field AdditionalDetails must be a string or array type with a maximum length of '2000'.,,
C17,/api/snakecatching/requests,POST,Notes max pass,notes length=1000,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C18,/api/snakecatching/requests,POST,Notes max fail,notes length=1001,400,The field Notes must be a string or array type with a maximum length of '1000'.,,
C19,/api/snakecatching/requests,POST,Species quantity lower bound,quantity=1,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C20,/api/snakecatching/requests,POST,Species quantity upper bound,quantity=100,200,Snake catching request created successfully! Our team will review and assign a rescuer soon.,,
C21,/api/snakecatching/requests,POST,Species quantity invalid low,quantity=0,400,The field Quantity must be between 1 and 100.,,
C22,/api/snakecatching/requests,POST,Species quantity invalid high,quantity=101,400,The field Quantity must be between 1 and 100.,,
C23,/api/snakecatching/requests,POST,Species id not found,snakeSpeciesId not exists,400,Snake species with ID {snakeSpeciesId} not found.,,
C24,/api/snakecatching/requests,POST,Media id not found,mediaId not exists,400,Media with ID {mediaId} not found.,,
C25,/api/snakecatching/requests,POST,Unauthorized user id missing,Token has no user id claim,401,User ID not found in token,,
C26,/api/snakecatching/requests,POST,Account not found,Service throws NotFoundException,404,Account not found.,,
C27,/api/snakecatching/requests,POST,Member profile missing,Service throws BadRequestException,400,Member information could not be found for the current account.,,
D01,/api/snakecatching/requests/confirm/{requestId},PATCH,Confirm success,Request status Pending,200,Snake catching request confirmed successfully!,,
D02,/api/snakecatching/requests/confirm/{requestId},PATCH,Request not found,Unknown requestId,404,Snake catching request not found.,,
D03,/api/snakecatching/requests/confirm/{requestId},PATCH,Invalid status to confirm,Status not Pending,400,Request cannot be accepted. Current status: {status},,
D04,/api/snakecatching/requests/confirm/{requestId},PATCH,Unauthorized,Missing token,401,Authentication required. Please provide a valid token.,,
E01,/api/snakecatching/requests/assign/{requestId},POST,Assign success,Confirmed request + valid rescuer,200,Snake catching request assigned successfully! Mission created.,,
E02,/api/snakecatching/requests/assign/{requestId},POST,Null body,request=null,400,Request data cannot be null.,,
E03,/api/snakecatching/requests/assign/{requestId},POST,RescuerId required,rescuerId=Guid.Empty,400,Rescuer ID is required.,,
E04,/api/snakecatching/requests/assign/{requestId},POST,Rescuer account not found,rescuerId not exists,404,Account not found.,,
E05,/api/snakecatching/requests/assign/{requestId},POST,Rescuer profile missing,Account has no rescuer profile,400,Rescuer profile not found. Only rescuers can accept requests.,,
E06,/api/snakecatching/requests/assign/{requestId},POST,Rescuer offline,IsOnline=false and IsAvailable=true,400,Rescuer must be online to accept requests.,,
E07,/api/snakecatching/requests/assign/{requestId},POST,Request not found,Unknown requestId,404,Snake catching request not found.,,
E08,/api/snakecatching/requests/assign/{requestId},POST,Request not confirmed,Status not Confirmed,400,Request cannot be accepted. Current status: {status},,
E09,/api/snakecatching/requests/assign/{requestId},POST,Already assigned,AssignedRescuerId has value,400,This request has already been assigned to another rescuer.,,
E10,/api/snakecatching/requests/assign/{requestId},POST,Active mission exists,Non-terminal mission already exists,400,An active mission already exists for this request with status: {missionStatus},,
F01,/api/snakecatching/requests/{requestId},GET,Get detail success,Existing requestId,200,Snake catching request details retrieved successfully.,,
F02,/api/snakecatching/requests/{requestId},GET,Request detail not found,Unknown requestId,404,Snake catching request with ID {requestId} not found.,,
F03,/api/snakecatching/requests/{requestId},GET,Unauthorized,Missing token,401,Authentication required. Please provide a valid token.,,
G01,/api/snakecatching/requests/cancel/{requestId},PATCH,Cancel pending success,Owner cancels pending request,200,Snake catching request cancelled successfully.,,
G02,/api/snakecatching/requests/cancel/{requestId},PATCH,Cancel assigned preparing success,Owner cancels assigned + preparing mission,200,Snake catching request cancelled successfully.,,
G03,/api/snakecatching/requests/cancel/{requestId},PATCH,Reason required,reason=null or empty or whitespace,400,Cancellation reason is required.,,
G04,/api/snakecatching/requests/cancel/{requestId},PATCH,Reason max length fail,reason length=501,400,Reason cannot exceed 500 characters,,
G05,/api/snakecatching/requests/cancel/{requestId},PATCH,Request not found,Unknown requestId,404,Snake catching request with ID {requestId} not found.,,
G06,/api/snakecatching/requests/cancel/{requestId},PATCH,User not owner,request.UserId != current user,400,You are not authorized to cancel this request.,,
G07,/api/snakecatching/requests/cancel/{requestId},PATCH,No active mission in assigned state,Assigned request but no active mission,400,Active mission not found for this assigned request.,,
G08,/api/snakecatching/requests/cancel/{requestId},PATCH,Mission en route cannot cancel,active mission status EnRoute,400,Cannot cancel request. The rescuer is already on the way (En Route).,,
G09,/api/snakecatching/requests/cancel/{requestId},PATCH,Other mission status cannot cancel,active mission status not Preparing/EnRoute,400,Cannot cancel request. Mission status is {missionStatus}.,,
G10,/api/snakecatching/requests/cancel/{requestId},PATCH,Request status cannot cancel,status not Pending/Assigned,400,Cannot cancel request with status {requestStatus}.,,
G11,/api/snakecatching/requests/cancel/{requestId},PATCH,Unauthorized,Missing or invalid token,401,Authentication required. Please provide a valid token.,,
