TestCaseId,API,Method,Scenario,Input/Condition,ExpectedHttpStatus,ExpectedMessageOrErrorCode,,
A01,/api/snakecatching/missions/{missionId}/start,PATCH,Start success mission preparing,Mission owned by current rescuer with status Preparing,200,Mission started! En route to location.,,
A02,/api/snakecatching/missions/{missionId}/start,PATCH,Start success with notes,"Body: { notes: \"On my way\" }",200,Mission started! En route to location.,,
A03,/api/snakecatching/missions/{missionId}/start,PATCH,Mission not found,Unknown missionId,404,Mission not found or you don't have permission to access it.,,
A04,/api/snakecatching/missions/{missionId}/start,PATCH,Mission owned by another rescuer,missionId exists but rescuerId mismatch,404,Mission not found or you don't have permission to access it.,,
A05,/api/snakecatching/missions/{missionId}/start,PATCH,Invalid status transition,Current status is not Preparing,400,Cannot start mission. Current status: {status}. Mission must be in Preparing status.,,
A06,/api/snakecatching/missions/{missionId}/start,PATCH,Unauthorized,Missing or invalid token,401,Authentication required. Please provide a valid token.,,
A07,/api/snakecatching/missions/{missionId}/start,PATCH,Token missing user id claim,No NameIdentifier claim in token,401,User ID not found in token,,
A08,/api/snakecatching/missions/{missionId}/start,PATCH,Unexpected exception,Service throws Exception,500,INTERNAL_SERVER_ERROR,,
B01,/api/snakecatching/missions/{missionId}/arrived,PATCH,Arrived success mission en route,Mission owned by current rescuer with status EnRoute,200,Mission marked as arrived!,,
B02,/api/snakecatching/missions/{missionId}/arrived,PATCH,Arrived success with notes,"Body: { notes: \"Arrived at location\" }",200,Mission marked as arrived!,,
B03,/api/snakecatching/missions/{missionId}/arrived,PATCH,Mission not found,Unknown missionId,404,Mission not found or you don't have permission to access it.,,
B04,/api/snakecatching/missions/{missionId}/arrived,PATCH,Mission owned by another rescuer,missionId exists but rescuerId mismatch,404,Mission not found or you don't have permission to access it.,,
B05,/api/snakecatching/missions/{missionId}/arrived,PATCH,Invalid status transition,Current status is not EnRoute,400,Cannot mark as arrived. Current status: {status}. Mission must be EnRoute.,,
B06,/api/snakecatching/missions/{missionId}/arrived,PATCH,Unauthorized,Missing or invalid token,401,Authentication required. Please provide a valid token.,,
B07,/api/snakecatching/missions/{missionId}/arrived,PATCH,Token missing user id claim,No NameIdentifier claim in token,401,User ID not found in token,,
B08,/api/snakecatching/missions/{missionId}/arrived,PATCH,Unexpected exception,Service throws Exception,500,INTERNAL_SERVER_ERROR,,
C01,/api/snakecatching/missions/{missionId}/complete,PATCH,Complete success minimal,Status Arrived and evidence media exists,200,Mission completed successfully! Request marked as completed.,,
C02,/api/snakecatching/missions/{missionId}/complete,PATCH,Complete with catching environment,"Body: { catchingEnvironmentId: validId }",200,Mission completed successfully! Request marked as completed.,,
C03,/api/snakecatching/missions/{missionId}/complete,PATCH,Actual cost calculation with details,MissionDetails total quantity > 0,200,Mission completed successfully! Request marked as completed.,,
C04,/api/snakecatching/missions/{missionId}/complete,PATCH,Actual cost zero without details,No MissionDetails or total quantity <= 0,200,Mission completed successfully! Request marked as completed.,,
C05,/api/snakecatching/missions/{missionId}/complete,PATCH,Mission not found,Unknown missionId,404,Mission not found or you don't have permission to access it.,,
C06,/api/snakecatching/missions/{missionId}/complete,PATCH,Mission owned by another rescuer,missionId exists but rescuerId mismatch,404,Mission not found or you don't have permission to access it.,,
C07,/api/snakecatching/missions/{missionId}/complete,PATCH,Invalid status transition,Current status is not Arrived,400,Cannot complete mission. Current status: {status}. Mission must be in Arrived status.,,
C08,/api/snakecatching/missions/{missionId}/complete,PATCH,Missing evidence media,No report media with purpose Evidence,400,Cannot complete mission. SnakeCatchingMission must have at least one evidence media.,,
C09,/api/snakecatching/missions/{missionId}/complete,PATCH,Catching environment not found,catchingEnvironmentId does not exist,404,Catching environment with ID {id} not found.,,
C10,/api/snakecatching/missions/{missionId}/complete,PATCH,Unauthorized,Missing or invalid token,401,Authentication required. Please provide a valid token.,,
C11,/api/snakecatching/missions/{missionId}/complete,PATCH,Token missing user id claim,No NameIdentifier claim in token,401,User ID not found in token,,
C12,/api/snakecatching/missions/{missionId}/complete,PATCH,Unexpected exception,Service throws Exception,500,INTERNAL_SERVER_ERROR,,
D01,/api/snakecatching/missions/{missionId}/abort,PATCH,Abort success from preparing,Status Preparing with valid reason,200,Mission aborted successfully.,,
D02,/api/snakecatching/missions/{missionId}/abort,PATCH,Abort success from en route,Status EnRoute with valid reason,200,Mission aborted successfully.,,
D03,/api/snakecatching/missions/{missionId}/abort,PATCH,Abort resets request assignment,Request fields reset after abort,200,Mission aborted successfully.,,
D04,/api/snakecatching/missions/{missionId}/abort,PATCH,Reason required null,"Body: { reason: null }",400,Reason is required,,
D05,/api/snakecatching/missions/{missionId}/abort,PATCH,Reason required empty,"Body: { reason: \"\" }",400,Reason is required,,
D06,/api/snakecatching/missions/{missionId}/abort,PATCH,Reason max length pass,reason length = 500,200,Mission aborted successfully.,,
D07,/api/snakecatching/missions/{missionId}/abort,PATCH,Reason max length fail,reason length = 501,400,Reason cannot exceed 500 characters,,
D08,/api/snakecatching/missions/{missionId}/abort,PATCH,Mission not found,Unknown missionId,404,Mission not found or you don't have permission to access it.,,
D09,/api/snakecatching/missions/{missionId}/abort,PATCH,Mission owned by another rescuer,missionId exists but rescuerId mismatch,404,Mission not found or you don't have permission to access it.,,
D10,/api/snakecatching/missions/{missionId}/abort,PATCH,Invalid status transition,Current status not Preparing or EnRoute,400,Cannot abort mission. Current status: {status}. Mission can only be aborted from Preparing or EnRoute status.,,
D11,/api/snakecatching/missions/{missionId}/abort,PATCH,Unauthorized,Missing or invalid token,401,Authentication required. Please provide a valid token.,,
D12,/api/snakecatching/missions/{missionId}/abort,PATCH,Token missing user id claim,No NameIdentifier claim in token,401,User ID not found in token,,
D13,/api/snakecatching/missions/{missionId}/abort,PATCH,Unexpected exception,Service throws Exception,500,INTERNAL_SERVER_ERROR,,
